Indicator Code: CG0000
"Indicator Name: All Causes"
Export date: 6/11/2023 10:34:02 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-Y89"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CSA,Central and South America,ARG,Argentina,2020,All,Age00,[0],4505.00000000,100.00000000,,608.25608054,
CSA,Central and South America,ARG,Argentina,2020,All,Age01_04,[1-4],808.00000000,100.00000000,,26.96923838,
CSA,Central and South America,ARG,Argentina,2020,All,Age05_09,[5-9],490.00000000,100.00000000,,13.20819868,
CSA,Central and South America,ARG,Argentina,2020,All,Age10_14,[10-14],642.00000000,100.00000000,,17.84690194,
CSA,Central and South America,ARG,Argentina,2020,All,Age15_19,[15-19],1967.00000000,100.00000000,,55.57362177,
CSA,Central and South America,ARG,Argentina,2020,All,Age20_24,[20-24],2984.00000000,100.00000000,,85.81284231,
CSA,Central and South America,ARG,Argentina,2020,All,Age25_29,[25-29],3371.00000000,100.00000000,,95.76027150,
CSA,Central and South America,ARG,Argentina,2020,All,Age30_34,[30-34],3571.00000000,100.00000000,,107.59329674,
CSA,Central and South America,ARG,Argentina,2020,All,Age35_39,[35-39],4550.00000000,100.00000000,,145.71974666,
CSA,Central and South America,ARG,Argentina,2020,All,Age40_44,[40-44],6617.00000000,100.00000000,,214.14918661,
CSA,Central and South America,ARG,Argentina,2020,All,Age45_49,[45-49],8817.00000000,100.00000000,,334.25024376,
CSA,Central and South America,ARG,Argentina,2020,All,Age50_54,[50-54],12433.00000000,100.00000000,,540.15915862,
CSA,Central and South America,ARG,Argentina,2020,All,Age55_59,[55-59],18533.00000000,100.00000000,,872.87644651,
CSA,Central and South America,ARG,Argentina,2020,All,Age60_64,[60-64],27440.00000000,100.00000000,,1456.68202450,
CSA,Central and South America,ARG,Argentina,2020,All,Age65_69,[65-69],36939.00000000,100.00000000,,2245.51826430,
CSA,Central and South America,ARG,Argentina,2020,All,Age70_74,[70-74],44138.00000000,100.00000000,,3300.71850340,
CSA,Central and South America,ARG,Argentina,2020,All,Age75_79,[75-79],48403.00000000,100.00000000,,5024.11738270,
CSA,Central and South America,ARG,Argentina,2020,All,Age80_84,[80-84],50821.00000000,100.00000000,,8007.32966640,
CSA,Central and South America,ARG,Argentina,2020,All,Age85_over,[85+],96258.00000000,100.00000000,,17286.00802700,
CSA,Central and South America,ARG,Argentina,2020,All,Age_unknown,[Unknown],2932.00000000,100.00000000,,,
CSA,Central and South America,ARG,Argentina,2020,Male,Age00,[0],2496.00000000,100.00000000,,661.39879486,
CSA,Central and South America,ARG,Argentina,2020,Male,Age01_04,[1-4],435.00000000,100.00000000,,28.50507587,
CSA,Central and South America,ARG,Argentina,2020,Male,Age05_09,[5-9],265.00000000,100.00000000,,14.02762861,
CSA,Central and South America,ARG,Argentina,2020,Male,Age10_14,[10-14],380.00000000,100.00000000,,20.75118186,
CSA,Central and South America,ARG,Argentina,2020,Male,Age15_19,[15-19],1350.00000000,100.00000000,,75.01000133,
CSA,Central and South America,ARG,Argentina,2020,Male,Age20_24,[20-24],2191.00000000,100.00000000,,124.29527247,
CSA,Central and South America,ARG,Argentina,2020,Male,Age25_29,[25-29],2333.00000000,100.00000000,,131.42107131,
CSA,Central and South America,ARG,Argentina,2020,Male,Age30_34,[30-34],2304.00000000,100.00000000,,138.90027635,
CSA,Central and South America,ARG,Argentina,2020,Male,Age35_39,[35-39],2719.00000000,100.00000000,,175.38574867,
CSA,Central and South America,ARG,Argentina,2020,Male,Age40_44,[40-44],3932.00000000,100.00000000,,258.99841650,
CSA,Central and South America,ARG,Argentina,2020,Male,Age45_49,[45-49],5288.00000000,100.00000000,,413.68444357,
CSA,Central and South America,ARG,Argentina,2020,Male,Age50_54,[50-54],7733.00000000,100.00000000,,700.78996329,
CSA,Central and South America,ARG,Argentina,2020,Male,Age55_59,[55-59],11538.00000000,100.00000000,,1149.89839470,
CSA,Central and South America,ARG,Argentina,2020,Male,Age60_64,[60-64],17010.00000000,100.00000000,,1939.42296180,
CSA,Central and South America,ARG,Argentina,2020,Male,Age65_69,[65-69],22953.00000000,100.00000000,,3077.83697240,
